title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
It Takes a Lunatic,MOVIE,2019,Not Available,126,documentation,"['US', 'GB', 'DE']",0.0,tt11052346,6.6,170.0
It Takes a Lunatic,MOVIE,2019,Not Available,126,drama,"['US', 'GB', 'DE']",0.0,tt11052346,6.6,170.0
What are the Odds?,MOVIE,2019,Not Available,92,drama,['IN'],0.0,tt12327140,5.3,832.0
What are the Odds?,MOVIE,2019,Not Available,92,music,['IN'],0.0,tt12327140,5.3,832.0
What are the Odds?,MOVIE,2019,Not Available,92,documentation,['IN'],0.0,tt12327140,5.3,832.0
Omo Ghetto: The Saga,MOVIE,2020,Not Available,110,comedy,[],0.0,tt14099462,7.2,50.0
Omo Ghetto: The Saga,MOVIE,2020,Not Available,110,drama,[],0.0,tt14099462,7.2,50.0
Omo Ghetto: The Saga,MOVIE,2020,Not Available,110,action,[],0.0,tt14099462,7.2,50.0
The App,MOVIE,2019,Not Available,79,scifi,['IT'],0.0,tt11385066,2.7,1329.0
The App,MOVIE,2019,Not Available,79,thriller,['IT'],0.0,tt11385066,2.7,1329.0
The App,MOVIE,2019,Not Available,79,drama,['IT'],0.0,tt11385066,2.7,1329.0
Amit Tandon: Family Tandoncies,MOVIE,2020,Not Available,72,comedy,['IN'],0.0,tt11262978,7.0,250.0
Belmonte,MOVIE,2019,Not Available,75,drama,"['UY', 'MX', 'ES']",0.0,tt8846072,6.1,376.0
Belmonte,MOVIE,2019,Not Available,75,comedy,"['UY', 'MX', 'ES']",0.0,tt8846072,6.1,376.0
Belmonte,MOVIE,2019,Not Available,75,european,"['UY', 'MX', 'ES']",0.0,tt8846072,6.1,376.0
40 Sticks,MOVIE,2020,Not Available,93,thriller,[],0.0,tt13483050,6.7,99.0
40 Sticks,MOVIE,2020,Not Available,93,crime,[],0.0,tt13483050,6.7,99.0
An Unremarkable Christmas,MOVIE,2020,Not Available,83,comedy,[],0.0,tt13607632,3.2,139.0
An Unremarkable Christmas,MOVIE,2020,Not Available,83,drama,[],0.0,tt13607632,3.2,139.0
Who's the Boss,MOVIE,2020,Not Available,105,comedy,[],0.0,tt13370858,5.6,36.0
Who's the Boss,MOVIE,2020,Not Available,105,romance,[],0.0,tt13370858,5.6,36.0
Love Like the Falling Rain,MOVIE,2020,Not Available,86,drama,['ID'],0.0,tt12217814,4.9,200.0
Love Like the Falling Rain,MOVIE,2020,Not Available,86,romance,['ID'],0.0,tt12217814,4.9,200.0
Love Like the Falling Rain,MOVIE,2020,Not Available,86,fantasy,['ID'],0.0,tt12217814,4.9,200.0
Bombairiya,MOVIE,2019,Not Available,108,crime,['IN'],0.0,tt4971258,4.5,418.0
Bombairiya,MOVIE,2019,Not Available,108,drama,['IN'],0.0,tt4971258,4.5,418.0
Bombairiya,MOVIE,2019,Not Available,108,comedy,['IN'],0.0,tt4971258,4.5,418.0
"Hello, Love, Goodbye",MOVIE,2019,Not Available,118,drama,"['HK', 'PH']",0.0,tt10156112,7.4,1033.0
"Hello, Love, Goodbye",MOVIE,2019,Not Available,118,romance,"['HK', 'PH']",0.0,tt10156112,7.4,1033.0
Kilometers and Kilometers,MOVIE,2020,Not Available,129,drama,['IN'],0.0,tt7268736,6.4,1538.0
Kilometers and Kilometers,MOVIE,2020,Not Available,129,comedy,['IN'],0.0,tt7268736,6.4,1538.0
Love for Sale 2,MOVIE,2019,Not Available,92,drama,['ID'],0.0,tt10643938,7.0,549.0
Love for Sale 2,MOVIE,2019,Not Available,92,romance,['ID'],0.0,tt10643938,7.0,549.0
Liss Pereira: Reteniendo Liquidos,MOVIE,2019,Not Available,59,comedy,[],0.0,tt10018436,6.4,94.0
Los Tigres del Norte at Folsom Prison,MOVIE,2019,Not Available,64,documentation,['US'],0.0,tt10857582,7.0,170.0
Los Tigres del Norte at Folsom Prison,MOVIE,2019,Not Available,64,music,['US'],0.0,tt10857582,7.0,170.0
Cops and Robbers,MOVIE,2020,PG-13,8,animation,['US'],0.0,tt13322484,6.9,2279.0
Nailed It! Germany,SHOW,2020,TV-14,35,reality,['DE'],1.0,tt11460744,5.7,100.0
Sarvam Thaala Mayam,MOVIE,2019,PG,133,drama,['IN'],0.0,tt8319768,7.6,1231.0
Sarvam Thaala Mayam,MOVIE,2019,PG,133,music,['IN'],0.0,tt8319768,7.6,1231.0
Miranda Sings Live... Your Welcome,MOVIE,2019,Not Available,61,comedy,['US'],0.0,tt9557190,5.5,418.0
Jeff Garlin: Our Man in Chicago,MOVIE,2019,Not Available,58,comedy,['GB'],0.0,tt11108064,5.9,422.0
Hope Ranch,MOVIE,2020,Not Available,81,family,['US'],0.0,tt5244812,4.3,229.0
Six Windows in the Desert,SHOW,2020,TV-14,21,drama,['SA'],1.0,tt11874042,4.3,3074.0
Six Windows in the Desert,SHOW,2020,TV-14,21,comedy,['SA'],1.0,tt11874042,4.3,3074.0
